Account ID,Account Name,First Name,Created On
12345,lexcorp,Lex,2011-01-12
8172,latveriaembassy,Victor,2014-11-19
1924,brotherhood,Max,2012-02-29
222222,leagueofassassins,Ra's,2012-03-01
48213,kingpin,Wilson,2015-07-07
918299,oscorp,Norman,2014-04-29
88888,dococt,Otto,2013-08-08
aaaa,fake1,Lex,2011-01-12
bbbb,fake2,Victor,2014-11-19
1924,brotherhood,Max,2012-02-29
222222,leagueofassassins,Ra's,2012-03-01
48213,kingpin,Wilson,2015-07-07
918299,oscorp,Norman,2014-04-29
88888,dococt,Otto,2013-08-08
